TITLE,ALBUM,ARTIST,IS_NEW
So Cold,We Are Not Alone,Breaking Benjamin,false
The Diary of Jane,Phobia (Clean Version),Breaking Benjamin,false
Cannonball,Last Splash,The Breeders,false
Drown,That's The Spirit,Bring Me The Horizon,false
Shadow Moses,,Bring Me The Horizon,true
Throne,That's The Spirit,Bring Me The Horizon,false
Kingslayer (feat. BABYMETAL),POST HUMAN: SURVIVAL HORROR,"Bring Me The Horizon,BABYMETAL",false
Smalltown Boy,The Age of Consent,Bronski Beat,false
Born to Run,Born To Run,Bruce Springsteen,false
Dancing In the Dark,Born In The U.S.A.,Bruce Springsteen,false
All These Things I Hate (Revolve Around Me),The Poison,Bullet For My Valentine,false
Tears Don't Fall,The Poison,Bullet For My Valentine,false
Your Betrayal,Fever,Bullet For My Valentine,false
Everything Zen,Sixteen Stone,Bush,false
Machinehead,Sixteen Stone,Bush,false
The Chemicals Between Us,The Science Of Things,Bush,false
Ever Fallen in Love (With Someone You Shouldn't've?),Love Bites,Buzzcocks,false
I Will Survive,Fashion Nugget,CAKE,false
The Distance,Fashion Nugget,CAKE,false
Hammer Smashed Face,Tomb Of The Mutilated,Cannibal Corpse,false
Just Like The Movies,Just Like The Movies,Cars in Drive,false
I Want You to Want Me,In Color,Cheap Trick,false
Surrender,Heaven Tonight,Cheap Trick,false
The Red,Wonder What's Next (Expanded Edition),Chevelle,false
Are You Dead Yet?,Are You Dead Yet?,Children Of Bodom,false
You Know My Name,Carry On,Chris Cornell,false
Wicked Game,Heart Shaped World,Chris Isaak,false
I Fought the Law,The Cost of Living - EP,The Clash,false
London Calling,London Calling,The Clash,false
Rock the Casbah,Combat Rock,The Clash,false
Should I Stay or Should I Go,Combat Rock,The Clash,false
Train in Vain (Stand by Me),London Calling,The Clash,false
Electric Worry,From Beale Street to Oblivion,Clutch,false
The Mob Goes Wild,Blast Tyrant,Clutch,false
Loco,Coal Chamber,Coal Chamber,false
Heaven or Las Vegas,Heaven or Las Vegas,Cocteau Twins,false
Welcome Home,Good Apollo I'm Burning Star IV Volume One: From Fear Through The Eyes Of Madness,Coheed and Cambria,false
Clean My Wounds,Deliverance,Corrosion Of Conformity,false
Nymphetamine Fix,Nymphetamine Special Edition,Cradle Of Filth,false
Goo Goo Muck,Psychedelic Jungle,The Cramps,false
Human Fly,Off The Bone,The Cramps,false
Zombie,No Need To Argue (The Complete Sessions 1994-1995),The Cranberries,false
Sunshine Of Your Love,Disraeli Gears,Cream,false
My Sacrifice,Weathered,Creed,false
With Arms Wide Open,Human Clay,Creed,false
Fire Woman,Sonic Temple,The Cult,false
Rain,Love,The Cult,false
She Sells Sanctuary,Love,The Cult,false
A Night Like This,The Head On The Door,The Cure,false
Boys Don't Cry,Three Imaginary Boys,The Cure,false
Close To Me,The Head On The Door,The Cure,false
Fascination Street,Disintegration,The Cure,false
Friday I'm In Love,Wish,The Cure,false
In Between Days,Show,The Cure,false
Just Like Heaven,"Kiss Me, Kiss Me, Kiss Me",The Cure,false
Lovesong,Disintegration,The Cure,false
Lullaby,Disintegration,The Cure,false
The Lovecats,Japanese Whispers,The Cure,false
The Walk,Japanese Whispers,The Cure,false
(I Just) Died In Your Arms,Broadcast,Cutting Crew,false
New Rose,Damned Damned Damned (30th Anniversary Expanded Edition),The Damned,false
Her Black Wings,Danzig II: Lucifuge,Danzig,false
I'm The One,Danzig II: Lucifuge,Danzig,false
Long Way Back From Hell,Danzig II: Lucifuge,Danzig,false
Mother,Danzig,Danzig,false
Twist Of Cain,Danzig,Danzig,false
Growing on Me,Permission to Land,The Darkness,false
I Believe in a Thing Called Love,Permission to Land,The Darkness,false
Ashes to Ashes,Scary Monsters (And Super Creeps) [2017 Remaster],David Bowie,false
Heroes,Heroes (2017 Remaster),David Bowie,false
I'm Afraid Of Americans,,David Bowie,true
Let's Dance,Let's Dance (2018 Remaster),David Bowie,false
Life on Mars?,Hunky Dory,David Bowie,false
If It Means A Lot To You,Homesick,A Day To Remember,false
California Uber Alles,Give Me Convenience or Give Me Death,Dead Kennedys,false
Holiday in Cambodia,Fresh Fruit For Rotting Vegetables (Expanded Edition),Dead Kennedys,false
Too Drunk To Fuck,Fresh Fruit For Rotting Vegetables (Expanded Edition),Dead Kennedys,false
Hush,Shades of Deep Purple,Deep Purple,false
Smoke On The Water,Machine Head,Deep Purple,false
Animal,Hysteria,Def Leppard,false
Photograph,Pyromania,Def Leppard,false
Pour Some Sugar On Me,Hysteria (Super Deluxe),Def Leppard,false
Be Quiet and Drive (Far Away),Around the Fur,Deftones,false
Bored,Adrenaline,Deftones,false
Change (In the House of Flies),White Pony,Deftones,false
Digital Bath,White Pony,Deftones,false
Knife Prty,White Pony,Deftones,false
